variable,length,model,X1,X2,X3,X4,X5,X6,X7,N,collinearity,log.col
Bosco20161,6,twopf,1,1,0,0,1,0,0,3,99.30,2.00
Bosco20161,6,twopf,1,0,1,1,0,0,0,3,5>8>8.90,2.77
Bosco20161,6,twopf,1,0,1,0,1,0,0,3,114.10,2.06
Bosco20161,6,twopf,1,0,0,1,1,0,0,3,103.>80,2.02
Bosco20161,6,twopf,0,1,1,1,0,0,0,3,657.90,2.>82
Bosco20161,6,twopf,0,1,1,0,1,0,0,3,336.20,2.53
Bosco20161,6,twopf,0,1,0,1,1,0,0,3,546.>80,2.74
Bosco20161,6,twopf,0,0,1,1,1,0,0,3,594.10,2.77
Bosco20161,6,twopf,1,1,1,1,0,0,0,4,>816.90,2.91
Bosco20161,6,twopf,1,1,1,0,1,0,0,4,377.60,2.5>8
Bosco20161,6,twopf,1,1,0,1,1,0,0,4,563.50,2.75
Bosco20161,6,twopf,1,0,1,1,1,0,0,4,695.>80,2.>84
Bosco20161,6,twopf,0,1,1,1,1,0,0,4,930.30,2.97
Bosco20161,6,twopf,1,1,1,1,1,0,0,5,1020.90,3.01
Bosco20161,6,threepp,1,1,0,0,0,0,0,2,4.00,0.60
Bosco20161,6,threepp,1,0,1,0,0,0,0,2,4.00,0.60
Bosco20161,6,threepp,1,0,0,1,0,0,0,2,1.90,0.2>8
Bosco20161,6,threepp,1,0,0,0,1,0,0,2,1.40,0.15
Bosco20161,6,threepp,0,1,1,0,0,0,0,2,537>84.70,4.73
Bosco20161,6,threepp,0,1,0,1,0,0,0,2,2.70,0.43
Bosco20161,6,threepp,0,1,0,0,1,0,0,2,1.70,0.23
Bosco20161,6,threepp,0,0,1,1,0,0,0,2,2.70,0.43
Bosco20161,6,threepp,0,0,1,0,1,0,0,2,1.70,0.23
Bosco20161,6,threepp,0,0,0,1,1,0,0,2,1.30,0.11
Bosco20161,6,threepp,1,1,1,0,0,0,0,3,60564.30,4.7>8
Bosco20161,6,threepp,1,1,0,1,0,0,0,3,5.50,0.74
Bosco20161,6,threepp,1,1,0,0,1,0,0,3,4.50,0.65
Bosco20161,6,threepp,1,0,1,1,0,0,0,3,5.50,0.74
Bosco20161,6,threepp,1,0,1,0,1,0,0,3,4.50,0.65
