Entry,Model,X1,X2,X3,X4,N,Collinearity,Identifiable,Timepoints,log.col
Arriaga2007,2ps,1,1,0,1,3,46.6,FALSE,13,1.668385917
Arriaga2007,2ps,1,0,1,1,3,4687295.1,FALSE,13,6.670922296
Arriaga2007,2ps,0,1,1,1,3,4488716.7,FALSE,13,6.652122196
Arriaga2007,2ps,1,1,1,1,4,4692492,FALSE,13,6.671403541
Austin2006a,2pp,1,1,0,,2,1.1,TRUE,7,0.041392685
Austin2006a,2pp,1,0,1,,2,1.3,TRUE,7,0.113943352
Austin2006a,2pp,0,1,1,,2,3.2,TRUE,7,0.505149978
Austin2006a,2pp,1,1,1,,3,4.2,TRUE,7,0.62324929
Austin2006a,2ps,1,1,0,0,2,2.3,TRUE,7,0.361727836
Austin2006a,2ps,1,0,1,0,2,5.6,TRUE,7,0.748188027
Austin2006a,2ps,1,0,0,1,2,5.6,TRUE,7,0.748188027
Austin2006a,2ps,0,1,1,0,2,3.5,TRUE,7,0.544068044
Austin2006a,2ps,0,1,0,1,2,3.5,TRUE,7,0.544068044
Austin2006a,2ps,0,0,1,1,2,524744.6,FALSE,7,5.719947978
Austin2006a,2ps,1,1,1,0,3,13,TRUE,7,1.113943352
Austin2006a,2ps,1,1,0,1,3,13,TRUE,7,1.113943352
Austin2006a,2ps,1,0,1,1,3,1745990.5,FALSE,7,6.242041876
Austin2006a,2ps,0,1,1,1,3,719055.6,FALSE,7,5.856762473
Austin2006a,2ps,1,1,1,1,4,2063600.1,FALSE,7,6.31462554
Austin2006b,2pp,1,1,0,,2,1.2,TRUE,5,0.079181246
Austin2006b,2pp,1,0,1,,2,1.5,TRUE,5,0.176091259
Austin2006b,2pp,0,1,1,,2,3.5,TRUE,5,0.544068044
Austin2006b,2pp,1,1,1,,3,6.6,TRUE,5,0.819543936
Austin2006b,2ps,1,1,0,0,2,2.5,TRUE,5,0.397940009
Austin2006b,2ps,1,0,1,0,2,5.7,TRUE,5,0.755874856
Austin2006b,2ps,1,0,0,1,2,5.7,TRUE,5,0.755874856
Austin2006b,2ps,0,1,1,0,2,4.2,TRUE,5,0.62324929
Austin2006b,2ps,0,1,0,1,2,4.2,TRUE,5,0.62324929
Austin2006b,2ps,0,0,1,1,2,138706.6,FALSE,5,5.142097126
Austin2006b,2ps,1,1,1,0,3,23.3,FALSE,5,1.367355921
Austin2006b,2ps,1,1,0,1,3,23.3,FALSE,5,1.367355921
Austin2006b,2ps,1,0,1,1,3,453433.7,FALSE,5,5.656513795
Austin2006b,2ps,0,1,1,1,3,229357.9,FALSE,5,5.360513704
Austin2006b,2ps,1,1,1,1,4,836686.7,FALSE,5,5.922562865
Baker2015,2pp,1,1,0,,2,1.2,TRUE,5,0.079181246
Baker2015,2pp,1,0,1,,2,1.5,TRUE,5,0.176091259
Baker2015,2pp,0,1,1,,2,4,TRUE,5,0.602059991
Baker2015,2pp,1,1,1,,3,8.5,TRUE,5,0.929418926
Baker2015,2ps,1,1,0,0,2,2.9,TRUE,5,0.462397998
Baker2015,2ps,1,0,1,0,2,6.1,TRUE,5,0.785329835
Baker2015,2ps,1,0,0,1,2,6.1,TRUE,5,0.785329835
Baker2015,2ps,0,1,1,0,2,5.2,TRUE,5,0.716003344
Baker2015,2ps,0,1,0,1,2,5.2,TRUE,5,0.716003344
Baker2015,2ps,0,0,1,1,2,3426866.6,FALSE,5,6.534897199
Baker2015,2ps,1,1,1,0,3,33,FALSE,5,1.51851394
Baker2015,2ps,1,1,0,1,3,33,FALSE,5,1.51851394
Baker2015,2ps,1,0,1,1,3,4288576.2,FALSE,5,6.632313131
Baker2015,2ps,0,1,1,1,3,4660171,FALSE,5,6.668401853
